YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,4,20,15,1.54,2.24,3.2,186.3,262.98,24.86,0.62,3.12,7.3,-1.38,2.96,0,54.75,5.62,62.23,7.82,14.8865738,230.88,231.03
2023,4,20,16,0.92,1.44,2.28,107.83,166.98,13.88,0.23,1.15,6,-2.1,1.94,0,56.31,5.31,62.21,7.63,14.52487955,232.4,232.65
2023,4,20,14,2.09,2.9,3.93,253.52,342.3,34.56,1.05,5.42,7.66,-1.23,3.22,0,54.38,5.74,62.27,7.25,13.80149106,232.31,232.48
2023,4,21,14,1.85,2.78,3.93,223.7,323.55,29.09,0.87,4.48,5.29,-4.97,0.15,0.22,47.81,4.27,62.22,6.93,13.1923218,218.27,218.47
2023,5,25,14,1.44,2.92,4.03,196.25,354.4,27.27,0.93,4.73,7.92,2.06,4.99,0.42,68.5,7.32,62.36,6.73,12.81159101,225.47,225.7
2023,4,21,15,1.46,2.16,3.2,175.6,250.95,23.16,0.57,2.92,3.81,-3.95,-0.07,0.19,57.56,4.64,62.17,6.71,12.77351793,221.08,221.34
2023,5,25,13,1.77,3.45,4.5,241.52,420.7,34.46,1.3,6.65,8.48,2.05,5.26,0.33,65.81,7.32,62.38,6.73,12.81159101,224.91,225.11
2023,5,10,13,2.95,3.68,4.48,359.8,430,51.08,1.77,9.23,6.99,-9.37,-1.19,0,29.69,2.99,62.37,6.81,12.96388332,218.05,218.05
2023,5,10,14,2.63,3.2,4,314.83,373.85,43.91,1.35,6.92,6.52,-8.6,-1.04,0,32.5,3.17,62.34,6.77,12.88773717,216.74,216.72
2023,4,20,17,0.49,0.63,1.23,55.02,71.02,6.79,0.05,0.25,4.48,-3.2,0.65,0,57.56,4.88,62.23,6.39,12.16434867,237.18,237.54
2023,4,21,16,0.79,1.39,2.28,93.85,159.55,12.49,0.22,1.1,2.73,-3.67,-0.47,0.1,63.62,4.76,62.14,6.55,12.4689333,223.4,223.62
2023,4,21,13,2.12,3.22,4.43,258.67,377.27,34.7,1.16,5.77,6.44,-6.67,-0.12,0.13,38.25,3.66,62.28,6.7,12.75448139,217.8,217.94
2023,4,4,13,2.14,3.39,4.32,268.38,406.6,38.66,1.24,6.33,4.04,-3.92,0.06,0.12,56.62,4.64,62.22,6.67,12.69737177,229.46,229.55
2023,4,20,13,2.32,3.35,4.42,284.2,396.05,39.23,1.32,6.8,7.63,-1.32,3.15,0,54.12,5.68,62.32,6.62,12.60218907,231.95,232.08
