YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,1,0,0,0,0,0,0,0,0,0,7.58,2.63,5.1,6.71,74.69,0,72.37,0.86,8.86,1.38,8.77
2022,4,1,1,0,0,0,0,0,0,0,0,7.63,1.95,4.79,6.41,70.81,0,72.32,0.83,3.78,1.29,3.47
2022,4,1,2,0,0,0,0,0,0,0,0,7.52,1.34,4.43,6.1,68.06,0,72.28,0.84,0,1.31,359.66
2022,4,1,3,0,0,0,0,0,0,0,0,7.4,0.62,4.01,5.8,65.19,0,72.26,0.8,8.45,1.23,8.8
2022,4,1,4,0,0,0,0,0,0,0,0,7.12,-0.1,3.51,5.49,63.06,0,72.28,0.79,13.21,1.22,13.32
2022,4,1,5,0,0,0,0,0,0,0,0,6.77,-0.9,2.94,5.19,61.06,0,72.32,0.85,13.27,1.33,13.63
2022,4,1,6,0.12,0.15,0.36,12.05,15.5,1.8,0.01,0.02,7.25,-1.28,2.98,5.07,57.31,0,72.36,0.91,13.44,1.41,13.42
2022,4,1,7,1.02,1.01,1.44,112.1,112.8,14.87,0.12,0.62,10.33,0.9,5.62,5.98,55.25,0,72.42,0.79,2.83,1.17,3.07
2022,4,1,8,1.95,1.96,2.46,221.5,223.62,32.16,0.59,2.9,13.32,-1.32,6,5.13,38.75,0,72.48,1.23,278.8,1.52,278.55
2022,4,1,9,2.69,2.77,3.32,312.4,318.38,47.19,1.23,6.12,15.58,-2.1,6.74,4.76,31.12,0,72.51,2.52,258.72,3.17,258.33
2022,4,1,10,3.22,3.37,3.97,378.48,388.75,57.87,1.85,9.6,17.03,-1.62,7.71,4.88,29.19,0,72.51,3.27,250.92,4.16,250.34
2022,4,1,11,2.86,3.6,4.36,342.23,420.15,52.82,1.8,9.27,17.93,-0.71,8.61,5.19,29.25,0,72.49,3.84,244.32,4.91,243.84
2022,4,1,12,3.1,3.63,4.47,375.85,423.62,56.04,1.91,9.92,18.33,0.21,9.27,5.55,30.5,0,72.45,4.16,240.31,5.35,239.84
2022,4,1,13,2.54,3.31,4.29,299.42,380.73,43.91,1.43,7.33,18.33,1.04,9.68,5.86,32.31,0,72.4,4.26,237.59,5.47,237.2
2022,4,1,14,2.2,2.76,3.82,260.8,313.88,35.65,1.02,5.3,17.96,1.64,9.8,6.16,34.5,0,72.36,4.15,235.5,5.35,235.29
2022,4,1,15,1.63,2.11,3.11,190.38,239.7,25.3,0.59,2.92,17.26,2.03,9.65,6.29,37.06,0,72.33,3.91,233.7,5.05,233.36
2022,4,1,16,0.97,1.27,2.2,108.48,140.17,13.62,0.21,1.02,16.08,2.31,9.2,6.41,40.62,0,72.34,3.5,231.8,4.58,231.65
2022,4,1,17,0.49,0.5,1.15,51.38,53.62,6.66,0.04,0.2,14.02,3.03,8.53,6.71,48.5,0,72.39,2.57,228.81,3.54,229.03
