YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2003,1,1,5,0,0,0,0,0,0,0,0,-16.1,-15.72,-15.91,1.65,100,0,61.13,1.22,12.61,1.94,12.08
2003,1,1,6,0.04,0.03,0.1,2.73,3.1,0.4,0,0,-16.74,-17.09,-16.91,1.46,100,0,61.19,1.52,13.04,2.46,12.45
2003,1,1,7,0.34,0.51,0.94,37.02,55.1,4.83,0.02,0.12,-15.65,-17.83,-16.74,1.34,83.81,0,61.24,1.88,11.96,2.98,12.25
2003,1,1,8,0.76,1.22,1.79,86.85,138.35,11.67,0.15,0.7,-10.77,-14.56,-12.67,1.83,75.31,0,61.3,2.12,5.92,3.17,8.23
2003,1,1,9,1.36,1.84,2.46,156.27,212.58,19.75,0.34,1.65,-6.49,-12.92,-9.7,2.2,61,0,61.32,2.89,4.97,3.73,5.28
2003,1,1,10,1.51,2.23,2.9,178.88,257.75,24.9,0.54,2.73,-4.73,-12.7,-8.72,2.26,53.94,0,61.29,2.84,4.1,3.6,4.36
2003,1,1,11,1.74,2.46,3.07,207.17,289.8,29.04,0.67,3.42,-3.6,-12.72,-8.16,2.26,48.94,0,61.25,2.82,0.32,3.55,0.38
2003,1,1,12,1.66,2.38,2.97,197,278.6,27.63,0.62,3.12,-2.92,-12.9,-7.91,2.2,45.5,0,61.25,2.76,356.43,3.49,356.54
2003,1,1,13,1.35,2.06,2.59,160.35,241.35,21.33,0.4,1.95,-2.52,-13.1,-7.81,2.2,43.31,0,61.26,2.61,353.13,3.32,353.24
2003,1,1,14,1.09,1.52,1.98,125.23,177.3,16.47,0.23,1.1,-2.56,-12.63,-7.6,2.32,46.06,0,61.28,2.22,350.7,2.91,351.04
2003,1,1,15,0.45,0.8,1.16,51.3,90.35,6.73,0.05,0.23,-3.66,-12.57,-8.12,2.32,51.19,0,61.32,1.5,355.51,2.16,356.68
2003,1,1,16,0.08,0.11,0.25,7,10.92,0.92,0,0.02,-7.16,-18.64,-12.9,1.28,38.19,0,61.36,1.39,11.37,2.26,10.57
2003,1,1,17,0,0,0,0,0,0,0,0,-11.22,-22.8,-17.01,0.85,35.12,0,61.42,1.78,19.47,3.06,18.94
2003,1,1,18,0,0,0,0,0,0,0,0,-14.08,-24.76,-19.42,0.67,37.19,0,61.48,2.01,22.17,3.61,22.24
2003,1,1,19,0,0,0,0,0,0,0,0,-16.15,-26.13,-21.13,0.61,39.06,0,61.54,2.13,21.96,3.91,22.06
