YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,1,0,0,0,0,0,0,0,0,0,-3.02,-9.57,-6.29,2.87,60.5,0,61.91,1.04,23.48,1.73,18.68
2022,4,1,1,0,0,0,0,0,0,0,0,-3.55,-10.31,-6.93,2.69,59.25,0,61.86,1.21,19.95,2.08,17.07
2022,4,1,2,0,0,0,0,0,0,0,0,-4.08,-10.88,-7.48,2.56,58.88,0,61.83,1.3,25.64,2.29,23.51
2022,4,1,3,0,0,0,0,0,0,0,0,-4.52,-11.33,-7.92,2.5,58.81,0,61.83,1.39,25.99,2.51,24.49
2022,4,1,4,0,0,0,0,0,0,0,0,-5.02,-11.81,-8.41,2.38,58.81,0,61.85,1.46,24.92,2.73,24.15
2022,4,1,5,0.05,0.05,0.16,3.9,5.5,0.55,0,0,-5.21,-11.82,-8.52,2.38,59.94,0,61.9,1.48,23.04,2.92,23.14
2022,4,1,6,0.74,0.74,1.14,79.6,82.48,8.98,0.05,0.23,-0.99,-10.39,-5.69,2.69,47.75,0,61.96,2.13,22.23,3.22,22.58
2022,4,1,7,1.61,1.65,2.18,183.6,190.27,23.02,0.32,1.58,3.4,-13.16,-4.88,2.08,26.5,0,62.02,3.11,23.54,3.97,23.79
2022,4,1,8,2.49,2.49,3.09,288.2,289.15,38.55,0.83,4.08,7.27,-14.94,-3.84,1.77,17,0,62.06,2.81,15.46,3.48,15.5
2022,4,1,9,3.14,3.16,3.79,368.77,367.27,51.05,1.39,6.98,10.01,-14.89,-2.45,1.77,14.12,0,62.08,2.62,355.9,3.18,355.77
2022,4,1,10,3.48,3.59,4.25,411,417.85,58.02,1.8,9.23,12.23,-13.94,-0.85,1.89,13.38,0,62.08,2.35,330.28,2.82,330.24
2022,4,1,11,3.5,3.69,4.43,411.8,426.1,57.7,1.84,9.52,13.86,-12.85,0.51,2.14,13.31,0,62.05,2.3,293.43,2.75,293.58
2022,4,1,12,3.41,3.58,4.33,401.17,415.52,56.03,1.75,9,14.73,-11.84,1.44,2.32,13.81,0,62,2.7,262.2,3.28,261.79
2022,4,1,13,3.1,3.2,3.94,364.55,373.6,50.18,1.42,7.2,14.83,-10.88,1.98,2.56,15.06,0,61.97,3.16,244.64,3.91,243.95
2022,4,1,14,2.48,2.59,3.3,291,303.4,39.14,0.91,4.5,14.23,-9.75,2.24,2.81,17.38,0,61.95,3.56,234.56,4.52,233.78
2022,4,1,15,1.7,1.81,2.44,197.27,211.25,25.38,0.41,2.02,12.86,-8.5,2.18,3.17,21.31,0,61.98,3.72,227.3,4.82,226.64
2022,4,1,16,0.93,0.94,1.43,104.33,107.7,12.18,0.09,0.45,10.42,-6.38,2.02,3.78,29.88,0,62.04,3.19,218.64,4.3,218.51
2022,4,1,17,0.16,0.14,0.36,15.33,15.58,1.87,0.01,0.02,5.58,-3.13,1.23,4.88,53.81,0,62.11,1.29,213.4,2.44,212.98
2022,4,1,18,0,0,0,0,0,0,0,0,3.51,-3.63,-0.06,4.7,59.81,0,62.18,1.04,205.8,1.83,206.13
