YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.33,-9.38,-8.85,2.99,99.0,0.0,62.05,0.66,68.57,1.28,67.68
2023,3,1,6,0.17,0.21,0.48,18.1,22.62,2.34,0.01,0.02,-7.06,-9.56,-8.31,2.93,87.0,0.0,62.11,1.19,81.71,1.61,80.77
2023,3,1,7,0.92,1.0,1.55,103.65,116.05,12.45,0.12,0.58,-4.87,-9.43,-7.15,2.93,72.12,0.0,62.19,1.23,125.92,1.47,125.89
2023,3,1,8,1.63,1.83,2.48,191.48,215.4,24.97,0.45,2.17,-2.6,-9.29,-5.95,2.93,59.81,0.0,62.25,2.34,191.16,2.85,191.22
2023,3,1,9,2.22,2.52,3.23,262.05,297.35,35.77,0.88,4.4,-1.06,-9.26,-5.16,2.93,52.56,0.0,62.26,3.33,200.73,4.1,200.75
2023,3,1,10,2.66,2.99,3.73,317.5,353.55,44.01,1.25,6.45,-0.1,-8.89,-4.49,3.05,50.06,0.0,62.25,4.06,200.74,5.03,200.74
2023,3,1,11,2.51,3.18,3.96,302.08,375.73,42.51,1.29,6.73,0.1,-8.1,-4.0,3.23,52.81,0.01,62.19,4.67,201.5,5.83,201.37
2023,3,1,12,2.28,3.12,3.89,274.88,368.38,38.66,1.16,6.1,0.06,-7.35,-3.64,3.48,56.5,0.03,62.12,5.18,202.73,6.53,202.64
2023,3,1,13,1.73,2.78,3.54,209.83,329.48,29.8,0.82,4.25,-0.33,-6.7,-3.52,3.66,61.5,0.04,62.06,5.57,204.95,7.14,204.85
2023,3,1,14,1.41,2.22,2.92,170.55,262.4,23.54,0.53,2.65,-1.06,-6.3,-3.67,3.78,67.62,0.04,62.03,5.53,208.63,7.16,208.47
2023,3,1,15,0.85,1.47,2.08,101.35,172.77,13.76,0.21,1.02,-1.98,-6.07,-4.02,3.91,74.5,0.03,62.02,4.85,212.44,6.33,212.24
2023,3,1,16,0.47,0.64,1.08,51.25,73.0,6.19,0.03,0.17,-3.24,-5.67,-4.46,4.03,85.94,0.03,62.04,3.39,213.25,4.49,212.72
2023,3,1,17,0.05,0.04,0.13,3.85,4.42,0.54,0.0,0.0,-5.04,-5.28,-5.16,4.15,100.0,0.02,62.06,1.21,213.38,1.99,208.57
2023,3,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.44,-5.25,-5.35,4.21,100.0,0.02,62.08,0.72,210.43,1.42,206.14
2023,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,-5.35,-5.43,4.15,100.0,0.01,62.1,0.57,220.52,1.09,219.49
2023,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6,-5.49,-5.55,4.15,100.0,0.01,62.11,0.56,235.2,0.99,235.56
2023,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.76,-5.64,-5.7,4.09,100.0,0.01,62.12,0.57,248.34,0.95,248.9
2023,3,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.85,-5.82,-5.84,4.03,100.0,0.01,62.11,0.56,261.98,0.91,263.12
2023,3,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.97,-6.06,-6.02,3.97,100.0,0.0,62.1,0.51,278.75,0.79,279.65
2023,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.06,-6.42,-6.24,3.85,100.0,0.0,62.07,0.5,302.2,0.74,302.52
2023,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.23,-6.87,-6.55,3.66,100.0,0.0,62.05,0.48,334.7,0.7,334.01
2023,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.49,-7.36,-6.93,3.54,99.44,0.0,62.03,0.49,5.44,0.75,5.36
2023,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.86,-8.02,-7.45,3.36,96.88,0.0,62.02,0.66,18.65,1.07,19.63
2023,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.25,-8.88,-8.06,3.11,93.0,0.0,62.04,0.81,22.83,1.4,24.42
2023,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.83,-9.89,-8.86,2.81,89.19,0.01,62.07,0.97,25.32,1.76,26.11
2023,3,2,6,0.27,0.28,0.5,27.52,29.4,2.96,0.01,0.05,-6.45,-10.49,-8.47,2.69,75.0,0.0,62.12,1.44,28.78,2.21,28.11
2023,3,2,7,1.14,1.15,1.57,129.05,133.27,15.0,0.13,0.65,-3.49,-10.54,-7.02,2.62,57.62,0.0,62.17,2.06,38.83,2.54,38.88
2023,3,2,8,1.94,1.98,2.5,227.25,233.2,29.52,0.5,2.48,-0.67,-11.83,-6.25,2.38,40.81,0.0,62.21,1.25,82.83,1.49,82.76
2023,3,2,9,2.55,2.66,3.25,300.38,313.62,40.84,0.96,4.73,1.59,-12.36,-5.38,2.26,32.94,0.0,62.22,1.96,170.58,2.34,170.6
2023,3,2,10,3.08,3.12,3.75,365.67,368.08,50.72,1.41,7.1,2.96,-11.52,-4.28,2.44,32.12,0.0,62.2,3.15,193.04,3.84,193.16
2023,3,2,11,3.01,3.29,3.98,358.92,389.12,50.42,1.49,7.62,3.66,-10.63,-3.48,2.62,33.0,0.0,62.16,4.02,202.63,4.96,202.61
2023,3,2,12,2.87,3.22,3.91,343.8,381.98,48.3,1.41,7.2,3.38,-9.66,-3.14,2.87,36.69,0.0,62.12,4.59,207.79,5.72,207.82
2023,3,2,13,2.53,2.89,3.56,300.92,343.38,41.7,1.09,5.48,2.17,-8.74,-3.28,3.11,43.25,0.0,62.1,4.57,211.0,5.71,210.95
2023,3,2,14,1.96,2.32,2.94,232.92,276.48,31.42,0.66,3.3,0.88,-8.31,-3.72,3.23,49.19,0.0,62.09,4.19,212.45,5.28,212.37
2023,3,2,15,1.26,1.57,2.1,148.15,186.33,18.93,0.27,1.3,-0.39,-8.01,-4.2,3.3,55.62,0.01,62.1,3.63,212.7,4.61,212.61
2023,3,2,16,0.64,0.71,1.09,72.77,82.62,8.16,0.04,0.2,-2.06,-7.29,-4.68,3.48,67.81,0.02,62.13,2.52,210.54,3.37,210.07
2023,3,2,17,0.05,0.05,0.14,4.15,5.0,0.55,0.0,0.0,-4.6,-6.92,-5.76,3.6,86.69,0.02,62.17,1.48,206.02,2.34,204.08
2023,3,2,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.97,-6.45,-5.71,3.72,92.94,0.01,62.22,1.05,196.82,1.57,194.73
2023,3,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.27,-6.17,-5.72,3.85,97.88,0.01,62.25,0.53,170.68,0.82,171.25
2023,3,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.63,-6.12,-5.88,3.85,100.0,0.01,62.27,0.26,121.26,0.38,124.99
2023,3,2,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.94,-6.27,-6.11,3.85,100.0,0.01,62.26,0.28,50.6,0.47,51.04
2023,3,2,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.19,-6.61,-6.4,3.72,100.0,0.01,62.24,0.43,27.03,0.73,29.59
2023,3,2,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.35,-7.07,-6.71,3.6,99.69,0.01,62.21,0.53,23.53,0.87,25.42
2023,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.47,-7.6,-7.03,3.42,96.25,0.01,62.18,0.58,22.09,0.95,24.87
2023,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.6,-8.17,-7.38,3.23,92.69,0.01,62.15,0.6,21.52,0.98,23.92
2023,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.81,-8.77,-7.79,3.11,89.5,0.01,62.12,0.67,17.59,1.12,20.32
2023,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.03,-9.4,-8.22,2.93,86.31,0.0,62.09,0.72,19.61,1.25,22.4
2023,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.24,-9.95,-8.6,2.81,83.69,0.0,62.08,0.78,24.25,1.38,27.0
2023,3,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.49,-10.49,-8.99,2.62,81.44,0.0,62.09,0.86,27.49,1.57,30.52
2023,3,3,6,0.27,0.28,0.52,28.48,30.6,3.12,0.01,0.05,-5.94,-10.61,-8.27,2.62,70.5,0.0,62.13,1.27,35.46,1.92,34.08
2023,3,3,7,1.08,1.15,1.59,124.27,134.4,14.75,0.14,0.7,-2.84,-10.2,-6.52,2.75,56.19,0.0,62.17,1.39,36.1,1.71,36.09
2023,3,3,8,1.81,1.98,2.52,214.52,234.42,28.25,0.52,2.52,-0.09,-11.05,-5.57,2.5,41.62,0.0,62.19,0.44,268.98,0.52,270.0
2023,3,3,9,2.45,2.65,3.27,292.38,315.15,40.08,0.99,4.95,2.08,-11.55,-4.74,2.38,33.94,0.0,62.2,1.86,233.71,2.23,233.41
2023,3,3,10,2.79,3.11,3.77,334.25,369.95,46.79,1.36,6.92,3.71,-11.4,-3.85,2.44,30.56,0.0,62.19,2.88,226.43,3.51,226.08
2023,3,3,11,2.91,3.29,3.99,349.1,391.38,49.28,1.52,7.83,4.76,-10.81,-3.03,2.56,29.94,0.0,62.16,3.68,223.36,4.53,222.77
2023,3,3,12,2.8,3.23,3.93,336.67,385.08,47.48,1.44,7.38,5.15,-9.85,-2.35,2.81,31.88,0.0,62.11,4.28,221.96,5.33,221.38
2023,3,3,13,2.57,2.91,3.57,309.1,347.17,43.09,1.19,6.08,4.63,-8.78,-2.07,3.11,36.31,0.0,62.09,4.56,221.25,5.74,220.69
2023,3,3,14,2.02,2.34,2.95,241.17,280.65,32.78,0.73,3.65,3.3,-7.84,-2.27,3.36,43.31,0.0,62.1,4.43,219.7,5.63,219.26
2023,3,3,15,1.34,1.59,2.11,158.2,190.62,20.34,0.3,1.48,1.53,-7.04,-2.75,3.6,52.38,0.0,62.14,3.83,218.2,4.92,217.78
2023,3,3,16,0.64,0.73,1.11,72.98,86.27,8.23,0.05,0.23,-0.48,-6.24,-3.36,3.85,64.88,0.0,62.17,2.44,216.39,3.35,215.02
2023,3,3,17,0.06,0.05,0.14,5.0,5.52,0.65,0.0,0.02,-3.28,-6.22,-4.75,3.85,81.94,0.0,62.19,1.46,207.39,2.29,205.51
2023,3,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.76,-5.91,-4.84,3.91,87.38,0.0,62.23,1.07,194.74,1.62,193.7
2023,3,3,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,-5.7,-4.95,3.97,92.38,0.0,62.26,0.77,182.34,1.21,183.34
