YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2003,1,1,6,0,0,0,0,0,0,0,0,-4.58,-5.65,-5.11,3.48,98,0,72.92,0.61,354.14,0.78,343.19
2003,1,1,7,0.09,0.15,0.38,8.73,16.15,1.23,0.01,0.02,-3.87,-5.67,-4.77,3.48,91.81,0,72.98,0.44,355.91,0.6,346.5
2003,1,1,8,0.3,0.85,1.34,35.42,96.15,5.16,0.05,0.23,-1.67,-5.36,-3.52,3.54,78.19,0,73.02,0.53,319.76,0.7,313.65
2003,1,1,9,0.6,1.56,2.16,73.58,182.1,10.69,0.18,0.88,1.44,-4.87,-1.71,3.78,65.88,0,73.04,1.24,238.91,1.65,237.59
2003,1,1,10,0.92,2.12,2.77,111.83,249.08,16.11,0.35,1.75,3.56,-5.3,-0.87,3.72,55.12,0,73,2.43,215.99,3.12,215.92
2003,1,1,11,0.78,2.46,3.12,97.75,290.12,14.59,0.37,1.88,4.42,-5.6,-0.6,3.66,50.88,0,72.92,3.12,210.74,3.99,210.83
2003,1,1,12,0.88,2.44,3.2,108.9,282.77,15.59,0.4,2.05,4.61,-5.88,-0.63,3.6,49.25,0,72.85,3.34,214.62,4.32,214.61
2003,1,1,13,0.64,2.27,3.01,79.2,263.67,11.5,0.27,1.38,4.64,-6.12,-0.74,3.54,48.38,0,72.8,3.23,218.42,4.2,218.13
2003,1,1,14,0.84,1.86,2.54,95.62,215.58,12.85,0.26,1.27,4.57,-5.98,-0.7,3.6,49.5,0,72.78,3.08,219.95,4.05,219.59
2003,1,1,15,0.46,1.25,1.84,53.7,143.1,7.52,0.1,0.5,3.93,-5.81,-0.94,3.72,53.31,0,72.78,2.75,221.08,3.67,220.51
2003,1,1,16,0.3,0.53,0.95,32.3,58,4.06,0.02,0.1,2.55,-5.66,-1.56,3.78,60.44,0,72.81,2.28,218.32,3.16,218.17
2003,1,1,17,0.03,0.03,0.1,2.33,3.15,0.34,0,0,-0.5,-4.57,-2.54,4.09,81,0,72.87,0.81,226.17,1.53,223.75
2003,1,1,18,0,0,0,0,0,0,0,0,-1.57,-4.81,-3.19,4.09,88.88,0,72.94,0.37,260.34,0.65,254.62
2003,1,1,19,0,0,0,0,0,0,0,0,-1.92,-5.47,-3.7,3.97,89.19,0,73,0.45,353,0.83,351.87
2003,1,1,20,0,0,0,0,0,0,0,0,-2.81,-6.42,-4.61,3.72,89.75,0,73.03,1.04,13.93,1.89,12.66
2003,1,1,21,0,0,0,0,0,0,0,0,-3.06,-7.55,-5.31,3.36,82.88,0,73.06,1.23,15.45,2.32,14.22
2003,1,1,22,0,0,0,0,0,0,0,0,-3.17,-8.63,-5.9,3.05,75.62,0,73.09,1.24,14.21,2.39,12.85
2003,1,1,23,0,0,0,0,0,0,0,0,-3.47,-9.63,-6.55,2.75,70.44,0,73.12,1.27,11.03,2.46,10.24
2003,1,2,0,0,0,0,0,0,0,0,0,-3.49,-10.74,-7.11,2.44,63.25,0,73.14,1.3,6.91,2.51,6.26
2003,1,2,1,0,0,0,0,0,0,0,0,-3.6,-11.77,-7.69,2.2,57.56,0,73.15,1.31,358.3,2.52,358.4
2003,1,2,2,0,0,0,0,0,0,0,0,-3.95,-12.83,-8.39,2.01,53.06,0,73.15,1.34,350.98,2.58,351.82
2003,1,2,3,0,0,0,0,0,0,0,0,-3.81,-13.82,-8.81,1.77,47.12,0,73.16,1.45,352.26,2.71,353.22
2003,1,2,4,0,0,0,0,0,0,0,0,-4.29,-14.95,-9.62,1.59,43.62,0,73.19,1.56,358.85,2.96,359.24
2003,1,2,5,0,0,0,0,0,0,0,0,-4.82,-16.22,-10.52,1.4,39.94,0,73.24,1.67,4.03,3.2,4.07
2003,1,2,6,0,0,0,0,0,0,0,0,-5.07,-16.88,-10.98,1.28,38.19,0,73.32,1.7,6.86,3.29,6.69
