YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2022,4,1,0,0,0,0,0,0,0,0,0,7.73,3.21,5.47,7.45,82.88,0.01,73.07,0.75,332.63,1.16,333.09
2022,4,1,1,0,0,0,0,0,0,0,0,7.58,2.56,5.07,7.14,80.25,0,73.02,0.74,334.25,1.14,335.2
2022,4,1,2,0,0,0,0,0,0,0,0,7.38,1.99,4.69,6.84,77.94,0,72.98,0.77,338.63,1.19,339.66
2022,4,1,3,0,0,0,0,0,0,0,0,7.33,1.43,4.37,6.59,74.88,0,72.96,0.66,351.2,1.03,352.12
2022,4,1,4,0,0,0,0,0,0,0,0,7.21,0.98,4.1,6.35,72.94,0,72.98,0.6,357.77,0.91,359.02
2022,4,1,5,0,0,0,0,0,0,0,0,6.89,0.62,3.76,6.16,72.31,0,73.02,0.58,356.91,0.88,357.97
2022,4,1,6,0.14,0.16,0.41,14.73,18.3,1.98,0.01,0.02,7.38,1.41,4.4,6.35,72.31,0,73.07,0.52,0.87,0.81,0
2022,4,1,7,0.8,0.96,1.51,95.4,114.27,12.41,0.12,0.6,10.12,2.62,6.37,7.08,67,0,73.12,0.23,273.95,0.28,279.73
2022,4,1,8,1.37,1.84,2.53,166.05,221.88,22.95,0.44,2.17,12.29,2.73,7.51,7.26,59.31,0,73.18,1.49,209.52,1.87,209.57
2022,4,1,9,1.82,2.6,3.39,227.95,314.1,32.93,0.88,4.58,14.23,2.75,8.49,7.2,51.94,0,73.2,2.48,213.04,3.14,213.22
2022,4,1,10,2.6,3.17,4.03,321.5,381.88,46.06,1.47,7.58,15.83,3.33,9.58,7.32,47.88,0,73.2,3.19,211.16,4.07,211.25
2022,4,1,11,2.16,3.48,4.41,277.4,418.58,40.95,1.42,7.1,16.8,4.11,10.46,7.63,46.5,0.01,73.17,3.85,208.91,4.96,208.95
2022,4,1,12,2.05,3.5,4.5,263.75,420.23,38.59,1.36,6.77,17.13,4.83,10.98,7.87,47.12,0.02,73.14,4.25,208.4,5.52,208.42
2022,4,1,13,1.69,3.19,4.3,216.15,379.4,30.34,1,5.02,17.06,5.29,11.17,8,48.19,0.02,73.09,4.32,209.02,5.6,208.96
2022,4,1,14,1.28,2.65,3.81,162.05,312.3,22.52,0.66,3.5,16.65,5.55,11.1,8.12,49.94,0.02,73.05,4.16,209.36,5.42,209.34
2022,4,1,15,0.96,2.01,3.08,118.15,236.52,16.2,0.39,1.98,15.95,5.76,10.86,8.18,52.69,0.02,73.03,3.89,208.42,5.1,208.45
2022,4,1,16,0.6,1.19,2.14,70.95,137.02,9.34,0.15,0.73,14.87,5.91,10.4,8.24,56.75,0.01,73.04,3.34,207.76,4.42,207.79
2022,4,1,17,0.22,0.42,1.08,24.75,47.5,3.28,0.02,0.1,13.02,6.4,9.71,8.48,66.25,0.02,73.09,2.18,206.66,3.07,206.43
