YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-8.81,-5.41,2.75,62.75,0.0,73.48,1.35,350.32,2.42,348.65
2023,3,1,7,0.43,0.47,0.94,45.3,50.33,5.47,0.02,0.12,0.84,-5.55,-2.35,3.78,68.69,0.0,73.53,1.37,347.15,2.33,348.39
2023,3,1,8,1.03,1.28,1.94,115.83,145.05,14.42,0.19,0.92,5.01,-6.17,-0.57,3.42,46.44,0.0,73.6,1.56,321.7,2.03,322.51
2023,3,1,9,1.66,2.09,2.83,191.3,241.98,25.12,0.52,2.6,8.45,-6.0,1.23,3.54,37.75,0.0,73.63,2.41,249.75,3.1,249.97
2023,3,1,10,2.2,2.74,3.52,257.98,318.45,35.06,0.93,4.75,10.34,-4.88,2.73,3.78,35.69,0.0,73.65,3.56,230.34,4.61,230.57
2023,3,1,11,2.37,3.14,3.94,278.73,366.1,38.33,1.15,5.95,11.39,-3.72,3.83,4.15,36.12,0.0,73.64,4.36,225.15,5.64,225.17
2023,3,1,12,1.94,2.86,4.07,226.88,326.15,29.53,0.88,4.55,11.61,-2.71,4.45,4.46,38.31,0.0,73.59,4.82,223.29,6.25,223.28
2023,3,1,13,1.81,2.7,3.9,215.73,307.85,27.5,0.8,4.2,11.44,-1.69,4.87,4.76,41.56,0.0,73.54,4.9,223.26,6.36,223.21
2023,3,1,14,1.44,2.28,3.45,171.95,258.77,21.66,0.55,2.85,10.94,-1.06,4.94,5.0,44.81,0.0,73.49,4.62,224.59,5.99,224.52
2023,3,1,15,1.26,1.71,2.74,141.02,189.73,17.2,0.34,1.73,10.13,-0.81,4.66,5.07,48.06,0.01,73.46,4.1,224.54,5.35,224.53
2023,3,1,16,0.53,0.95,1.82,58.45,103.58,7.05,0.09,0.42,8.83,-0.77,4.03,5.07,52.5,0.01,73.45,3.35,223.58,4.49,223.59
2023,3,1,17,0.24,0.27,0.78,26.73,29.6,3.34,0.02,0.05,5.98,0.58,3.28,5.68,71.62,0.01,73.48,1.7,223.88,2.7,222.89
2023,3,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,-0.38,1.98,5.19,73.5,0.01,73.52,1.07,227.67,1.7,227.42
2023,3,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,-0.93,1.53,4.94,72.0,0.01,73.57,0.62,253.16,1.0,251.85
2023,3,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,-1.23,1.05,4.88,73.94,0.0,73.62,0.51,304.42,0.78,301.94
2023,3,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,-1.49,0.45,4.76,77.75,0.0,73.64,0.64,333.75,1.02,332.65
2023,3,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,-2.12,-0.3,4.58,79.25,0.0,73.63,0.79,342.1,1.32,341.35
2023,3,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,-2.95,-1.02,4.33,78.44,0.0,73.6,0.9,345.96,1.52,345.39
2023,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,-3.78,-1.65,4.09,76.5,0.0,73.56,1.01,347.91,1.69,346.67
2023,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-4.85,-2.38,3.85,73.56,0.0,73.51,1.09,348.05,1.86,345.67
2023,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-6.02,-3.19,3.54,70.44,0.0,73.47,1.16,348.31,2.01,345.8
2023,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.79,-7.17,-3.98,3.3,67.56,0.0,73.44,1.21,350.36,2.12,347.86
2023,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.24,-8.25,-4.75,3.05,64.81,0.0,73.43,1.28,351.57,2.24,349.75
2023,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.44,-9.38,-5.41,2.75,60.25,0.0,73.46,1.31,352.79,2.26,351.65
2023,3,2,6,0.03,0.02,0.05,1.3,1.6,0.19,0.0,0.0,-1.35,-10.17,-5.76,2.56,55.31,0.0,73.51,1.3,353.43,2.22,352.3
2023,3,2,7,0.45,0.51,0.91,50.1,57.58,5.95,0.03,0.15,1.46,-6.17,-2.35,3.66,64.0,0.0,73.57,1.05,349.28,1.83,349.7
2023,3,2,8,1.24,1.39,1.96,143.38,161.9,17.84,0.25,1.23,5.42,-7.5,-1.04,3.23,42.19,0.0,73.62,1.15,305.31,1.44,305.94
2023,3,2,9,1.93,2.19,2.85,226.83,258.5,29.99,0.66,3.27,8.28,-6.49,0.9,3.54,38.0,0.0,73.65,2.14,239.5,2.68,239.47
2023,3,2,10,2.46,2.82,3.54,293.62,333.3,40.11,1.11,5.75,10.0,-5.04,2.48,3.85,37.0,0.0,73.64,3.0,224.47,3.82,224.42
2023,3,2,11,2.61,3.21,3.96,314.67,379.62,44.16,1.39,7.33,11.18,-3.61,3.78,4.21,37.44,0.0,73.61,3.76,218.16,4.81,218.14
2023,3,2,12,2.32,3.09,4.09,276.62,359.77,37.49,1.2,6.2,11.71,-2.56,4.57,4.52,38.75,0.0,73.55,4.38,216.44,5.61,216.5
2023,3,2,13,1.9,2.91,3.92,232.05,340.35,31.12,0.96,5.12,11.6,-1.49,5.05,4.82,41.69,0.0,73.49,4.56,217.2,5.85,217.19
2023,3,2,14,1.43,2.47,3.47,175.0,289.33,23.37,0.64,3.33,10.98,-0.82,5.08,5.07,45.25,0.0,73.44,4.28,217.96,5.5,217.96
2023,3,2,15,1.03,1.83,2.76,125.0,213.3,16.4,0.36,1.8,10.01,-0.55,4.73,5.13,49.0,0.01,73.41,3.77,218.18,4.88,218.24
2023,3,2,16,0.56,1.08,1.84,65.92,123.35,8.48,0.12,0.58,8.76,-0.49,4.14,5.13,53.38,0.02,73.4,3.1,217.62,4.12,217.61
2023,3,2,17,0.22,0.33,0.79,26.42,36.92,3.47,0.02,0.08,6.26,1.02,3.65,5.86,72.0,0.02,73.42,1.62,215.6,2.56,215.44
